Date,ResourceID,Service,Department,Environment,UsageAmount,Cost,Currency
2026-03-02,res-3824,CloudFront (CDN),Data Science,Dev,17.385053287897723,28.42,USD
2026-03-01,res-5493,S3 (Storage),Sales,Prod,52.04131025776667,49.67,USD
2026-01-12,res-8655,S3 (Storage),Data Science,Staging,20.196511330234205,47.54,USD
2026-01-06,res-8401,CloudFront (CDN),Engineering,Dev,14.904346088221844,48.56,USD
2026-02-26,res-6132,RDS (Database),Data Science,Staging,24.63998102906569,45.79,USD
2026-01-04,res-4610,Lambda (Serverless),Engineering,Dev,56.56293632356764,16.83,USD
2026-04-01,res-5181,EC2 (Compute),Sales,Prod,28.15340774074831,20.02,USD
2026-03-22,res-2615,RDS (Database),Data Science,Staging,45.86774112997972,42.96,USD
2026-01-01,res-5632,S3 (Storage),Data Science,Prod,49.701145693934535,37.99,USD
2026-01-01,res-3669,Lambda (Serverless),Sales,Dev,79.25126718031686,49.7,USD
2026-01-08,res-9792,RDS (Database),Sales,Dev,67.47886066781956,15.37,USD
2026-02-06,res-9128,CloudFront (CDN),Engineering,Prod,69.37285101631026,5.23,USD
2026-02-27,res-3105,RDS (Database),Engineering,Prod,44.53772658702199,5.66,USD
2026-02-26,res-1729,CloudFront (CDN),Sales,Prod,0.0,115.82,USD
2026-03-20,res-9270,EC2 (Compute),Data Science,Prod,31.643232454487396,29.35,USD
2026-03-04,res-9613,CloudFront (CDN),,Prod,0.0,106.93,USD
2026-01-14,res-9296,RDS (Database),Marketing,Staging,57.714729029602076,27.28,USD
2026-02-16,res-5149,CloudFront (CDN),Data Science,Staging,90.38560865498143,49.16,USD
2026-01-17,res-9533,S3 (Storage),,Prod,5.497424492124084,27.08,USD
2026-02-18,res-9163,Lambda (Serverless),,Prod,2.5474927157705487,42.04,USD
2026-03-18,res-8458,EC2 (Compute),Data Science,Staging,51.573746141476086,3.01,USD
2026-01-10,res-3826,S3 (Storage),Sales,Prod,5.411427038879165,31.95,USD
2026-03-08,res-5471,S3 (Storage),Engineering,Prod,98.48178814170996,4.87,USD
2026-03-13,res-5469,Lambda (Serverless),Marketing,Staging,19.71834068011486,1.83,USD
2026-02-19,res-2565,CloudFront (CDN),Sales,Staging,80.77391074847503,33.72,USD
2026-02-01,res-3368,Lambda (Serverless),Engineering,Prod,6.707881356784783,42.22,USD
2026-01-26,res-5027,RDS (Database),Sales,Dev,32.260610693697025,26.27,USD
2026-03-21,res-8038,S3 (Storage),,Prod,87.15412451403138,20.56,USD
2026-02-25,res-9288,S3 (Storage),,Prod,46.5219169499764,29.85,USD
2026-01-08,res-9922,CloudFront (CDN),Marketing,Staging,1.5776149212286616,30.4,USD
2026-01-06,res-5420,EC2 (Compute),Sales,Staging,97.0489199091739,29.23,USD
2026-03-26,res-9616,RDS (Database),,Staging,60.663273378498594,0.28,USD
2026-01-17,res-9852,RDS (Database),,Staging,94.85802559273438,27.02,USD
2026-02-20,res-1847,EC2 (Compute),Data Science,Prod,33.969447357124714,31.49,USD
2026-01-07,res-4763,EC2 (Compute),Sales,Prod,52.68211593394656,20.4,USD
2026-03-31,res-5552,RDS (Database),Sales,Dev,60.96546235800007,45.34,USD
2026-03-12,res-8716,CloudFront (CDN),Engineering,Staging,50.78015414353765,3.52,USD
2026-03-11,res-4182,Lambda (Serverless),Sales,Staging,97.73130416052028,35.66,USD
2026-02-09,res-9851,CloudFront (CDN),Sales,Dev,0.0,192.85,USD
2026-01-31,res-6654,S3 (Storage),Sales,Staging,59.631280968327914,33.69,USD
2026-01-09,res-9872,Lambda (Serverless),Engineering,Dev,10.864145006647078,15.26,USD
2026-02-25,res-6435,CloudFront (CDN),Marketing,Staging,6.424284811326265,41.05,USD
2026-01-21,res-4968,Lambda (Serverless),Data Science,Prod,62.39348952704014,25.76,USD
2026-01-25,res-1611,CloudFront (CDN),,Dev,70.74580578736764,30.42,USD
2026-02-17,res-8195,Lambda (Serverless),Sales,Dev,17.434792877741703,38.24,USD
2026-01-30,res-9616,S3 (Storage),,Staging,36.589385675222886,47.5,USD
2026-01-10,res-7668,EC2 (Compute),Sales,Dev,44.45167807987474,6.16,USD
2026-02-15,res-2986,RDS (Database),Engineering,Prod,96.14033574332812,26.76,USD
2026-01-29,res-1585,CloudFront (CDN),Engineering,Prod,81.62013778752907,46.5,USD
2026-01-07,res-4155,Lambda (Serverless),Engineering,Staging,69.68503498708222,31.95,USD
2026-03-17,res-3200,EC2 (Compute),Sales,Prod,0.0,115.79,USD
2026-03-28,res-8324,CloudFront (CDN),Sales,Staging,97.44406404118634,39.99,USD
2026-01-09,res-1538,S3 (Storage),,Prod,40.39809351964534,39.49,USD
2026-03-03,res-2958,S3 (Storage),Data Science,Staging,55.98553609821118,29.36,USD
2026-01-10,res-2711,CloudFront (CDN),Data Science,Dev,18.99132392165831,16.87,USD
2026-03-24,res-2459,Lambda (Serverless),Sales,Dev,44.592708460289536,23.58,USD
2026-03-13,res-5364,CloudFront (CDN),Engineering,Staging,32.35344708290464,28.93,USD
2026-02-07,res-8240,CloudFront (CDN),Sales,Dev,21.133919633634548,19.94,USD
2026-02-03,res-1940,S3 (Storage),Data Science,Staging,82.18795013963617,25.82,USD
2026-02-08,res-7499,RDS (Database),Sales,Staging,75.67960248299164,49.05,USD
2026-03-17,res-5588,RDS (Database),Engineering,Dev,12.825112093936248,8.38,USD
2026-03-16,res-8527,CloudFront (CDN),Marketing,Prod,76.281351952663,21.81,USD
2026-02-15,res-8428,EC2 (Compute),,Prod,92.49208823081437,36.13,USD
2026-01-07,res-5949,RDS (Database),,Staging,50.06492870241349,47.93,USD
2026-01-28,res-4600,S3 (Storage),Engineering,Staging,22.26844382046144,37.16,USD
2026-02-17,res-2209,RDS (Database),Sales,Staging,95.43943444035784,35.21,USD
2026-02-10,res-2369,RDS (Database),Engineering,Staging,26.853609813490586,24.0,USD
2026-03-16,res-8654,EC2 (Compute),,Prod,46.94419037919442,3.94,USD
2026-03-22,res-9826,RDS (Database),Sales,Staging,7.128287506548903,18.71,USD
2026-03-26,res-8919,EC2 (Compute),Marketing,Dev,52.78215368316513,11.3,USD
2026-03-05,res-2766,EC2 (Compute),Data Science,Prod,68.74924115420595,32.6,USD
2026-03-03,res-2137,CloudFront (CDN),Engineering,Staging,35.12042268982223,16.33,USD
2026-02-16,res-1861,CloudFront (CDN),Engineering,Dev,57.06688308991492,46.61,USD
2026-01-02,res-9254,CloudFront (CDN),Data Science,Staging,53.31189443037645,3.64,USD
2026-02-10,res-4737,RDS (Database),Marketing,Prod,22.40069917260579,7.42,USD
2026-02-03,res-3810,RDS (Database),Engineering,Prod,42.48840068268821,14.08,USD
2026-02-22,res-1863,S3 (Storage),Sales,Dev,56.968066532905354,32.8,USD
2026-03-24,res-4269,S3 (Storage),Marketing,Staging,52.46519979405168,44.1,USD
2026-02-27,res-5941,EC2 (Compute),Engineering,Staging,37.005578427684306,46.82,USD
2026-01-29,res-6956,S3 (Storage),Engineering,Dev,1.3842405856784459,0.86,USD
2026-03-02,res-6768,S3 (Storage),Marketing,Prod,23.615389596309683,41.83,USD
2026-01-16,res-9140,S3 (Storage),Engineering,Staging,83.36375308422977,40.89,USD
2026-02-08,res-2632,S3 (Storage),Marketing,Dev,68.21889017075495,32.69,USD
2026-01-22,res-1782,EC2 (Compute),Sales,Staging,28.924614528560408,0.15,USD
2026-01-27,res-6420,RDS (Database),,Dev,43.72192431654565,39.94,USD
2026-03-06,res-8867,EC2 (Compute),Engineering,Dev,81.42633909769113,43.2,USD
2026-02-13,res-7822,EC2 (Compute),Engineering,Dev,25.084473601962113,44.96,USD
2026-03-03,res-7282,Lambda (Serverless),Marketing,Dev,57.49957139703107,41.0,USD
2026-01-28,res-2967,Lambda (Serverless),Sales,Dev,63.85532301375342,30.35,USD
2026-02-11,res-7950,Lambda (Serverless),,Staging,13.476909916746436,10.44,USD
2026-01-12,res-9399,RDS (Database),Sales,Prod,40.19078840940428,35.88,USD
2026-03-17,res-7540,S3 (Storage),Sales,Dev,23.295606661153446,6.47,USD
2026-02-20,res-5256,CloudFront (CDN),Marketing,Staging,88.12112010979735,15.52,USD
2026-03-10,res-2654,Lambda (Serverless),Marketing,Staging,38.40782900189057,41.17,USD
2026-01-02,res-5615,S3 (Storage),Sales,Prod,0.0,136.75,USD
2026-01-09,res-1078,EC2 (Compute),,Dev,74.64685047568996,31.68,USD
